Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo
Brandon Sayles,0.9166666666666669,0.8881698783994927,0.4571483784237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135651894611932,0.1974874970231007,0.0545954438334642,0.106609907120743,0.4395820433436532,0.295953488372093,0.3053122697880003,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Matt Schnell,0.5833333333333333,0.8607594936708861,0.3409090909090913,0.4329580348004095,0.0868571428571428,0.0244711737868104,0.1120689655172414,0.55,0.3164556962025316,0.0001666666666666,0.4251824817518248,0.1229314420803782,0.1048158640226629,0.0749279538904899,0.0769230769230769,0.0746268656716417,0.09,0.39,0.44,0.4210526315789473,0.3809523809523809,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Matthew Semelsberger,0.4583333333333332,0.9240506329113924,0.5681818181818183,0.3868986693961105,0.0801904761904762,0.0423060970551638,0.0409482758620689,0.54,0.2911392405063291,0.0014111111111111,0.6468978102189781,0.1205673758865248,0.1019830028328612,0.1556195965417867,0.2307692307692307,0.044776119402985,0.01,0.43,0.5700000000000001,0.2894736842105263,0.3333333333333333,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Igor Severino,0.0,0.8481012658227848,0.3181818181818183,0.7338792221084954,0.0824761904761904,0.4019079220240564,0.0,0.48,0.3164556962025316,0.0021555555555555,0.4242700729927007,0.0239783856805133,0.0113314447592068,0.1037463976945244,0.1538461538461538,0.0,0.04,0.52,0.71,0.2105263157894736,0.0476190476190476,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Edmen Shahbazyan,0.25,0.9367088607594936,0.5681818181818183,0.368474923234391,0.0779047619047619,0.092907507258399,0.0603448275862069,0.46,0.3987341772151899,0.0010333333333333,0.4005474452554744,0.0594393785883147,0.1728045325779036,0.1527377521613832,0.4230769230769231,0.0149253731343283,0.01,0.52,0.39,0.3421052631578947,0.1904761904761904,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Henrique Shiguemoto,0.5416666666666667,0.8881698783994927,0.4571483784237942,0.368474923234391,0.1142857142857143,0.0,0.0,0.17,0.3164556962025316,0.0,0.0456204379562043,0.0010131712259371,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0263157894736842,0.0,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jack Shore,0.375,0.8607594936708861,0.3863636363636367,0.3838280450358239,0.0441904761904761,0.1285773537951057,0.0700431034482758,0.5700000000000001,0.4810126582278481,0.0003666666666666,0.6286496350364963,0.0820668693009118,0.1303116147308781,0.1585014409221901,0.1538461538461538,0.0597014925373134,0.09,0.59,0.39,0.4473684210526315,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Ronal Siahaan,0.2916666666666667,0.8881698783994927,0.4571483784237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000337723741979,0.0,0.1135651894611932,0.1974874970231007,0.0545954438334642,0.106609907120743,0.4395820433436532,0.295953488372093,0.3053122697880003,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Serhiy Sidey,0.2916666666666667,0.8987341772151899,0.4318181818181821,0.5281473899692938,0.0798095238095238,0.0,0.0,0.56,0.0054430379746835,0.5811111111111111,0.0757299270072992,0.0020263424518743,0.0028328611898017,0.0201729106628242,0.0769230769230769,0.0149253731343283,0.35,0.0,0.1,0.0526315789473684,0.0,0.0699588477366255,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jacob Silva,0.625,0.8881698783994927,0.4571483784237942,0.4268167860798362,0.0937142857142857,0.0626296142679386,0.0,0.5700000000000001,0.4240506329113924,0.0,0.5447080291970803,0.0246538331644714,0.0169971671388102,0.0115273775216138,0.0,0.0,0.0,0.45,1.0,0.0,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
