event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 96: Jackson vs Jardine,Matt Brown,Pete Sell,W,L,2,0,24 of 31,0 of 1,77%,0%,44 of 51,0 of 1,0 of 0,0 of 1,---,0%,0,0,0,0,0:35,0:21,20 of 26,0 of 1,4 of 4,0 of 0,0 of 1,0 of 0,8 of 12,0 of 1,7 of 8,0 of 0,9 of 11,0 of 0
UFC 96: Jackson vs Jardine,Matt Hamill,Mark Munoz,W,L,1,0,23 of 47,14 of 37,48%,37%,40 of 64,14 of 37,0 of 0,0 of 4,---,0%,0,0,0,0,0:19,0:01,18 of 42,11 of 32,0 of 0,3 of 5,5 of 5,0 of 0,20 of 42,10 of 31,2 of 4,4 of 6,1 of 1,0 of 0
UFC 96: Jackson vs Jardine,Gray Maynard,Jim Miller,W,L,0,0,37 of 93,25 of 100,39%,25%,59 of 115,28 of 104,1 of 1,0 of 8,100%,0%,0,1,0,0,2:05,1:26,25 of 78,9 of 79,11 of 14,7 of 12,1 of 1,9 of 9,28 of 80,20 of 93,5 of 5,5 of 7,4 of 8,0 of 0
UFC 96: Jackson vs Jardine,Tamdan McCrory,Ryan Madigan,W,L,0,0,12 of 23,0 of 2,52%,0%,20 of 33,15 of 20,1 of 1,0 of 0,100%,---,0,0,0,0,3:22,0:00,12 of 23,0 of 1,0 of 0,0 of 0,0 of 0,0 of 1,1 of 2,0 of 2,0 of 0,0 of 0,11 of 21,0 of 0
UFC 96: Jackson vs Jardine,Kendall Grove,Jason Day,W,L,1,0,10 of 25,6 of 25,40%,24%,11 of 26,6 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00,8 of 20,4 of 22,1 of 3,0 of 1,1 of 2,2 of 2,5 of 17,3 of 15,1 of 4,3 of 10,4 of 4,0 of 0
UFC 96: Jackson vs Jardine,Jason Brilz,Tim Boetsch,W,L,0,0,34 of 103,27 of 65,33%,41%,107 of 183,31 of 70,4 of 8,0 of 0,50%,---,1,0,0,0,7:58,0:02,16 of 80,22 of 60,7 of 9,3 of 3,11 of 14,2 of 2,9 of 66,21 of 58,16 of 21,6 of 7,9 of 16,0 of 0
UFC 96: Jackson vs Jardine,Brandon Vera,Michael Patt,W,L,2,0,32 of 75,5 of 28,42%,17%,32 of 75,5 of 28,0 of 0,0 of 0,---,---,0,0,0,0,0:11,0:00,11 of 49,3 of 25,2 of 4,0 of 0,19 of 22,2 of 3,32 of 75,5 of 28,0 of 0,0 of 0,0 of 0,0 of 0
UFC 96: Jackson vs Jardine,Shane Nelson,Aaron Riley,W,L,1,0,5 of 12,4 of 9,41%,44%,5 of 12,4 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:02,4 of 10,0 of 5,1 of 1,1 of 1,0 of 1,3 of 3,2 of 6,4 of 9,0 of 1,0 of 0,3 of 5,0 of 0
UFC 95: Sanchez vs Stevenson,Diego Sanchez,Joe Stevenson,W,L,0,0,91 of 193,41 of 145,47%,28%,91 of 193,43 of 147,1 of 4,0 of 4,25%,0%,1,1,0,1,0:46,0:24,75 of 170,34 of 135,16 of 23,6 of 9,0 of 0,1 of 1,89 of 187,35 of 134,2 of 6,5 of 10,0 of 0,1 of 1
UFC 95: Sanchez vs Stevenson,Dan Hardy,Rory Markham,W,L,1,0,5 of 12,2 of 7,41%,28%,5 of 12,2 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,3 of 9,2 of 6,0 of 0,0 of 0,2 of 3,0 of 1,4 of 11,2 of 7,0 of 0,0 of 0,1 of 1,0 of 0
