Name,Style,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws
Aleksa Camur,MMA,27.0,73.0,74.0,4.73,4.26,0.46,0.0,54.0,50.0,0.23,790.0,220.0,63.0,28.0,5.0,1.0,0.0,57.0,22.0,6.0,3.0,0.0
Carlos Candelario,Freestyle,32.0,68.0,68.0,3.97,5.17,2.28,0.28,44.0,54.0,0.0,790.0,141.0,16.0,52.0,2.0,3.0,3.0,47.0,36.0,8.0,3.0,0.0
Jared Cannonier,Striker,40.0,71.0,77.5,4.62,4.19,0.47,0.0,58.0,62.0,0.34,786.0,839.0,114.0,76.0,10.0,4.0,2.0,52.0,47.0,17.0,7.0,0.0
Clayton Carpenter,,27.0,66.0,66.0,4.5,2.85,2.47,2.47,61.0,0.0,547.0,59.0,4.0,19.0,2.0,2.0,2.0,52.0,50.0,7.0,0.0,0.0,
Jack Cartwright,,29.0,,,0.8,3.33,6.0,2.0,30.0,0.0,900.0,8.0,1.0,3.0,0.0,0.0,0.0,39.0,67.0,0.0,1.0,0.0,
Henry Cejudo,Wrestling,37.0,64.0,64.0,3.77,3.29,1.99,0.16,60.0,76.0,0.4,808.0,460.0,150.0,101.0,8.0,8.0,0.0,47.0,32.0,16.0,4.0,0.0
Vinicius Cenci,,27.0,,,2.9,2.69,1.61,0.0,62.0,0.0,558.0,22.0,5.0,0.0,0.0,0.0,0.0,48.0,50.0,0.0,1.0,0.0,
Edgar Chairez,,28.0,67.0,71.0,2.69,4.1,0.0,1.66,44.0,42.0,0.42,541.0,94.0,0.0,3.0,4.0,0.0,7.0,49.0,11.0,5.0,0.0,
Michael Chandler,Wrestler,38.0,68.0,71.5,4.89,4.58,2.17,0.87,46.0,71.0,0.65,464.0,218.0,21.0,100.0,11.0,5.0,7.0,46.0,38.0,23.0,8.0,0.0
Morgan Charriere,MMA,28.0,68.0,69.0,3.98,4.24,1.59,0.8,55.0,88.0,0.8,566.0,70.0,5.0,0.0,11.0,5.0,3.0,49.0,40.0,19.0,10.0,1.0
Michael Chiesa,Wrestling,36.0,73.0,75.5,1.86,1.72,3.35,1.03,54.0,61.0,0.09,552.0,188.0,41.0,95.0,0.0,7.0,12.0,40.0,51.0,19.0,7.0,0.0
Giga Chikadze,Karate,35.0,72.0,74.0,3.92,3.5,0.21,0.21,61.0,70.0,0.62,795.0,513.0,11.0,48.0,9.0,5.0,1.0,42.0,33.0,15.0,4.0,0.0
SeungGuk Choi,Wrestling,26.0,66.0,64.0,2.69,2.69,1.02,0.0,66.0,74.0,0.21,878.0,170.0,7.0,20.0,2.0,4.0,0.0,43.0,28.0,7.0,3.0,0.0
Dooho Choi,Striker,33.0,70.0,70.0,4.41,4.49,0.75,0.75,55.0,48.0,0.99,452.0,195.0,32.0,39.0,12.0,2.0,1.0,54.0,38.0,15.0,4.0,1.0
Devin Clark,Boxer,33.0,72.0,75.0,3.03,3.24,2.17,0.08,44.0,59.0,0.23,684.0,306.0,182.0,100.0,4.0,8.0,1.0,54.0,33.0,14.0,9.0,0.0
Mark Climaco,,25.0,,,6.2,4.27,6.0,0.0,60.0,0.0,900.0,73.0,18.0,2.0,0.0,0.0,0.0,61.0,35.0,1.0,1.0,0.0,
Coltin Cole,,34.0,,,,,,,,,,,,,,,,,,,,,
Chandler Cole,,,,,2.45,3.59,0.0,0.0,27.0,0.0,368.0,15.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,
Jake Collier,Freestyle,34.0,75.0,78.5,5.8,5.08,0.71,0.61,51.0,68.0,0.3,636.0,738.0,94.0,30.0,5.0,4.0,4.0,44.0,33.0,13.0,10.0,0.0
Marcos Conrado Junior,,41.0,,,1.6,9.69,1.84,0.0,36.0,0.0,489.0,13.0,0.0,0.0,0.0,0.0,0.0,34.0,14.0,0.0,0.0,0.0,
