Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling
José Aldo,0.7083333333333333,0.8481012658227848,0.3409090909090913,0.3715455475946776,0.07104761904761905,0.021153048527581916,0.016163793103448277,0.61,0.5822784810126582,0.00044444444444444447,0.7791970802919708,0.4376899696048632,0.1643059490084986,0.41498559077809793,0.6538461538461539,0.19402985074626866,0.01,0.47000000000000003,0.54,0.8421052631578947,0.38095238095238093,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Lucas Alexander,0.33333333333333326,0.8987341772151899,0.4772727272727275,0.5353121801432958,0.034857142857142864,0.0,0.0,0.71,0.36075949367088606,0.0009000000000000001,0.3385036496350365,0.030395136778115502,0.0028328611898017,0.017291066282420747,0.11538461538461539,0.07462686567164178,0.0,0.55,0.0,0.21052631578947367,0.19047619047619047,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Marcio Alexandre,0.5833333333333333,0.9240506329113924,0.5681818181818183,0.1647901740020471,0.055047619047619054,0.014516798009124844,0.07650862068965518,0.42,0.4240506329113924,0.0,0.5784671532846715,0.017223910840932118,0.0254957507082153,0.023054755043227664,0.38461538461538464,0.014925373134328358,0.02,0.45,0.2,0.3421052631578947,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bill Algeo,0.625,0.9113924050632911,0.4772727272727275,0.601842374616172,0.08342857142857144,0.0427208627125674,0.01185344827586207,0.47000000000000003,0.3481012658227848,0.0002555555555555556,0.6523722627737226,0.2120905099628504,0.22662889518413598,0.18155619596541786,0.15384615384615385,0.08955223880597014,0.07,0.52,0.5,0.47368421052631576,0.42857142857142855,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdul Razak Alhassan,0.75,0.8860759493670886,0.4772727272727275,0.37052200614124875,0.07561904761904763,0.036499377851513894,0.01939655172413793,0.56,0.3291139240506329,0.0019555555555555554,0.33302919708029194,0.07159743329956096,0.1359773371104816,0.13832853025936598,0.46153846153846156,0.0,0.0,0.5,0.38,0.3157894736842105,0.2857142857142857,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nurullo Aliev,0.08333333333333337,0.8860759493670886,0.4318181818181821,0.255885363357216,0.008761904761904762,0.1269182911654915,0.0,0.59,0.0,0.6533333333333333,0.0018248175182481751,0.0,0.1331444759206799,0.005763688760806916,0.23076923076923078,0.0,0.51,0.44,0.09,0.0,0.0,0.06995884773662552,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ikram Aliskerov,0.45833333333333326,0.9113924050632911,0.6136363636363638,0.7195496417604914,0.13847619047619047,0.0754873496474492,0.19612068965517243,0.36,0.023037974683544304,0.13777777777777778,0.051094890510948905,0.0006754474839581223,0.0,0.017291066282420747,0.15384615384615385,0.07462686567164178,0.6,0.33,0.15,0.05263157894736842,0.0,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Leon Aliu,0.5416666666666667,0.8881698783994927,0.4571483784237942,0.646878198567042,0.1925714285714286,0.0,0.0,0.38,0.0,0.10555555555555556,0.006386861313868613,0.0010131712259371835,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.02631578947368421,0.0,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Brendan Allen,0.33333333333333326,0.9367088607594937,0.5681818181818183,0.40736949846468784,0.07295238095238096,0.07216922438822065,0.1540948275862069,0.47000000000000003,0.37341772151898733,0.0004555555555555555,0.5337591240875912,0.15062478892266126,0.1104815864022663,0.2795389048991354,0.19230769230769232,0.07462686567164178,0.14,0.54,0.47000000000000003,0.631578947368421,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Arnold Allen,0.41666666666666674,0.8607594936708861,0.3409090909090913,0.35312180143295807,0.05485714285714286,0.03857320613853173,0.03663793103448276,0.62,0.47468354430379744,0.0002777777777777778,0.7454379562043796,0.18541033434650459,0.0764872521246459,0.10086455331412103,0.2692307692307693,0.13432835820895522,0.04,0.42,0.48,0.5263157894736842,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Asu Almabayev,0.41666666666666674,0.810126582278481,0.11363636363636376,0.24155578300921188,0.01904761904761905,0.2770634591455827,0.2543103448275862,0.59,0.0,0.8488888888888889,0.032846715328467155,0.004390408645727795,0.1161473087818697,0.008645533141210374,0.2692307692307693,0.13432835820895522,0.62,0.5700000000000001,0.2,0.05263157894736842,0.0,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bekzat Almakhan,0.25,0.8481012658227848,0.25,0.02047082906857728,0.0862857142857143,0.0,0.0,0.31,0.006329113924050633,1.0,0.002737226277372263,0.0,0.0,0.02593659942363112,0.038461538461538464,0.014925373134328358,0.19,0.11,0.02,0.0,0.18635231870525987,0.06995884773662552,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
