Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Taekwondo,Style_Wrestler,Style_Wrestling
Kelly Faszholz,0.7200000000000001,0.9315068493150684,0.5483870967741935,0.35707925200356183,0.3574257425742574,0.0,0.0,0.6235294117647059,0.44,0.0,0.7483333333333334,0.06778476589797344,0.043859649122807015,0.010638297872340425,0.0,0.0,0.03614457831325302,0.48,0.0,0.11538461538461539,0.09523809523809523,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabriella Fernandes,0.36,0.9041095890410958,0.4838709677419355,0.3321460373998219,0.5504950495049504,0.08933333333333333,0.0,0.5529411764705883,0.59,0.0,0.75,0.09923130677847658,0.05701754385964912,0.0,0.1764705882352941,0.03076923076923077,0.024096385542168676,0.5,0.22,0.34615384615384615,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Manon Fiorot,0.5200000000000001,0.9178082191780821,0.4193548387096775,0.3873552983081032,0.32574257425742575,0.11733333333333333,0.03885480572597137,0.5764705882352941,0.6,0.0,0.75,0.3165618448637316,0.08991228070175439,0.09929078014184398,0.3529411764705882,0.07692307692307693,0.024096385542168676,0.52,0.33,0.46153846153846156,0.047619047619047616,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Brianna Fortino,0.31999999999999995,0.821917808219178,0.22580645161290347,0.31433659839715045,0.3198019801980198,0.3333333333333333,0.0,0.6705882352941176,0.67,0.0,0.75,0.04821802935010482,0.07236842105263158,0.014184397163120567,0.11764705882352941,0.046153846153846156,0.03614457831325302,0.42,0.45,0.34615384615384615,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Stephanie Frausto,0.44000000000000006,0.8889035806844025,0.4685351665785302,0.12733748886910062,0.35346534653465345,0.0,0.0,0.7058823529411764,0.0,0.18666666666666668,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.2530120481927711,0.0,0.01,0.0,0.18890056022408963,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jinh Yu Frey,0.68,0.8630136986301369,0.4193548387096775,0.26447016918967053,0.41881188118811885,0.136,0.02965235173824131,0.611764705882353,0.9,0.0,0.645,0.17959468902865128,0.07894736842105263,0.04964539007092199,0.058823529411764705,0.12307692307692308,0.024096385542168676,0.43,0.37,0.42307692307692313,0.47619047619047616,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sarah Frota,0.6,0.910958904109589,0.6774193548387095,0.4024933214603739,0.25445544554455446,0.0,0.0,0.6588235294117647,0.54,0.0006000000000000001,0.4608333333333334,0.07686932215234102,0.008771929824561403,0.03900709219858156,0.11764705882352941,0.03076923076923077,0.060240963855421686,0.53,0.0,0.34615384615384615,0.09523809523809523,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Claudia Gadelha,0.5200000000000001,0.8767123287671232,0.3225806451612905,0.2947462154942119,0.45247524752475254,0.40399999999999997,0.06850715746421268,0.6705882352941176,0.59,8.888888888888889e-05,0.7416666666666667,0.3249475890985325,0.13596491228070173,0.22340425531914893,0.11764705882352941,0.12307692307692308,0.08433734939759037,0.42,0.43,0.6923076923076923,0.23809523809523808,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Sheila Gaff,0.4800000000000001,0.8904109589041096,0.22580645161290347,0.14247551202137132,0.28613861386138617,0.0,0.0,0.32941176470588235,0.2,0.0,0.15583333333333335,0.001397624039133473,0.017543859649122806,0.0,0.0,0.0,0.0,0.5,0.1,0.23076923076923078,0.047619047619047616,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Melissa Gatto,0.2400000000000001,0.8904109589041096,0.6774193548387095,0.3365983971504897,0.28118811881188116,0.196,0.050102249488752554,0.6352941176470588,0.64,0.0002666666666666667,0.6133333333333334,0.13626834381551362,0.05263157894736842,0.04609929078014184,0.1764705882352941,0.03076923076923077,0.04819277108433735,0.5,0.29,0.3076923076923077,0.09523809523809523,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Karine Gevorgyan,0.5200000000000001,0.8767123287671232,0.2903225806451615,0.10685663401602849,0.17821782178217824,0.0,0.0,0.9058823529411765,0.0,0.1111111111111111,0.0016666666666666668,0.0,0.0,0.0,0.0,0.046153846153846156,0.24096385542168675,0.0,0.03,0.11538461538461539,0.0,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Loopy Godinez,0.36,0.8493150684931506,0.16129032258064546,0.37043633125556547,0.36534653465346534,0.39333333333333337,0.1032719836400818,0.7411764705882353,0.81,9.999999999999999e-05,0.6783333333333333,0.39902166317260657,0.1469298245614035,0.14184397163120566,0.058823529411764705,0.13846153846153847,0.024096385542168676,0.48,0.48,0.46153846153846156,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hannah Goldy,0.4,0.8767123287671232,0.16129032258064546,0.46215494211932323,0.4623762376237624,0.08800000000000001,0.022494887525562373,0.6,0.55,0.0,0.5683333333333334,0.1761006289308176,0.18421052631578946,0.06382978723404255,0.058823529411764705,0.06153846153846154,0.012048192771084338,0.47000000000000003,0.12,0.23076923076923078,0.19047619047619047,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
